status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;impact_id;messages;updated_at;impacted_objects;id;cause
active;Incidents;0;bloquante;NO_SERVICE;20220613T040000;20220813T170000;f0430878-e5a4-11ec-9440-005056a44da2;" / Travaux Route du Vésinet à Chatou / <p>En raison des travaux de chauffage urbain «&nbsp;Route du Vésinet&nbsp;» (entre les rues des Landes et Jules Ferry) à Chatou, la route sera mise en sens unique en direction du Vésinet.</p><p>Du lundi 13 juin au vendredi 13 août 2022</p><p>L’arrêt «&nbsp;Jules Ferry&nbsp;» ne sera pas desservi pour les directions suivantes: Gare de Houilles-Carrières-Sur-Seine (ligne C) et Lycée Les Pierres Vives (ligne 1). </p><p>Les arrêts «&nbsp;Cormiers Ricard&nbsp;», «&nbsp;Sabinettes&nbsp;», «&nbsp;Stade Finaltéri&nbsp;» et «&nbsp;Landes&nbsp;» ne seront pas desservis en direction de Cormeilles (ligne S3).</p><p>Veuillez vous reporter aux arrêts provisoires «&nbsp;Rue Jules Ferry&nbsp;» au niveau du cheminement piéton ou devant l’agence immobilière (cabinet SIVAN).</p><p>Nous vous prions de bien vouloir nous excuser de la gêne occasionnée.<br></p><p><br></p><p></p>";20220606T162831;Argenteuil - Boucles de Seine Bus C;f0430878-e5a4-11ec-9440-005056a44da2;travaux
active;Incidents;0;bloquante;NO_SERVICE;20220713T133000;20220714T153000;d0462502-feb1-11ec-a6ca-005056a44da2; / En raison des festivités liées au 14 juillet, la circulation de votre ligne sera modifiée dans la nuit du mercredi 13 juillet au jeudi 14 juillet 2022 entre 20h00 et 03h00 / <p>Les arrêts suivants ne seront pas desservis: </p><p>Ligne 1 : Sureaux, Berry, Cité des Indes, Centre Commercial, Robert Schumann, Neruda, Charles de Gaulle et Picardie.</p>;20220708T133340;Argenteuil - Boucles de Seine Bus 1;d0462502-feb1-11ec-a6ca-005056a44da2;perturbation
active;Incidents;0;bloquante;NO_SERVICE;20220713T133000;20220714T153000;63ee473a-feb2-11ec-be3d-005056a47b86; / En raison des différentes festivités, la circulation de votre ligne sera modifiée dans la nuit du mercredi 13 juillet au jeudi 14 juillet 2022 entre 21h30 et 01h00. / <p>Les arrêts suivants ne seront pas desservis: </p><p><p></p></p><p>Leon Feix, Hôtel de Ville, Antonin Georges Belin, Temple et Pierre Curie.</p>;20220708T133747;Argenteuil - Boucles de Seine Bus 2;63ee473a-feb2-11ec-be3d-005056a47b86;perturbation
active;Communication;30;perturbée;SIGNIFICANT_DELAYS;20220314T050000;20230402T230000;7432264e-9ebc-11ec-b964-005056a47b86; / Aménagement Gare de Massy/ Déplacement des quais / <p>A compter du lundi 14 mars et ce jusqu'au dimanche 2 avril 2023, les quais de dépose et de reprise des voyageurs seront déplacés en Gare de Massy suite à des travaux d'aménagement de la gare routière. Nous vous remercions de consulter notre site internet ou notre compte twitter afin d'avoir plus d'informations.</p> / <p>A compter du lundi 14 mars et ce jusqu'au dimanche 2 avril 2023, les quais de dépose et de reprise des voyageurs seront déplacés en Gare de Massy suite à des travaux d'aménagement de la gare routière. Nous vous remercions de consulter notre site internet ou notre compte twitter afin d'avoir plus d'informations.</p>;20220308T094758;Albatrans Bus 91-11;7432264e-9ebc-11ec-b964-005056a47b86;information
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220314T000000;20230430T235900;81177624-9fb7-11ec-8250-005056a44da2;" / GARE MASSY / <p><div class=""fckcontainer""><p>&nbsp;Dans le cadre de requalification de la gare de Massy Palaiseau Atlantis (cot&eacute; RER B), une nouvelle gare provisoire est mise en service au niveau de l'avenue Carnot d&egrave;s le lundi 14 mars 2022.</p><br><p>&nbsp;</p><br><p>Veuillez vous conformer au plan pour l'affectation des quais.</p><br><p>&nbsp;</p><br><p>FI_2022_031</p></div><a href='https://www.transdev-idf.com/horaire-ligne-2-paris-saclay_mobilites_006'>En savoir plus sur cette information.</a></p> / GARE MASSY / <p><div class=""fckcontainer""><p>&nbsp;Dans le cadre de requalification de la gare de Massy Palaiseau Atlantis (cot&eacute; RER B), une nouvelle gare provisoire est mise en service au niveau de l'avenue Carnot d&egrave;s le lundi 14 mars 2022.</p><br><p>&nbsp;</p><br><p>Veuillez vous conformer au plan pour l'affectation des quais.</p><br><p>&nbsp;</p><br><p>FI_2022_031</p></div><a href='https://www.transdev-idf.com/horaire-ligne-2-paris-saclay_mobilites_006'>En savoir plus sur cette information.</a></p>";20220309T154503;Paris-Saclay Mobilités Bus 23;81177624-9fb7-11ec-8250-005056a44da2;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220314T000000;20220731T235900;8141e210-9fb7-11ec-82d0-005056a44da2;" / GARE MASSY / <p><div class=""fckcontainer""><p>&nbsp; Dans le cadre de requalification de la gare de Massy Palaiseau Atlantis (cot&eacute; RER B), une nouvelle gare provisoire est mise en service au niveau de l'avenue Carnot d&egrave;s le lundi 14 mars 2022.</p><br><p>&nbsp;</p><br><p>Veuillez vous conformer au plan pour l'affectation des quais.</p><br><p>&nbsp;</p><br><p>FI_2022_031</p></div><a href='https://www.transdev-idf.com/horaire-ligne-2-paris-saclay_mobilites_006'>En savoir plus sur cette information.</a></p> / GARE MASSY / <p><div class=""fckcontainer""><p>&nbsp; Dans le cadre de requalification de la gare de Massy Palaiseau Atlantis (cot&eacute; RER B), une nouvelle gare provisoire est mise en service au niveau de l'avenue Carnot d&egrave;s le lundi 14 mars 2022.</p><br><p>&nbsp;</p><br><p>Veuillez vous conformer au plan pour l'affectation des quais.</p><br><p>&nbsp;</p><br><p>FI_2022_031</p></div><a href='https://www.transdev-idf.com/horaire-ligne-2-paris-saclay_mobilites_006'>En savoir plus sur cette information.</a></p>";20220309T154504;Paris-Saclay Mobilités Bus 23;8141e210-9fb7-11ec-82d0-005056a44da2;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220425T050000;20221030T233000;67eca5bc-c0ae-11ec-8815-005056a47b86;" / Travaux TCSP / Arrêts non desservis / <p>Du Lundi 25 avril au dimanche 30 octobre 2022 inclus.</p><p><p></p></p><p>Nous informons notre aimable clientèle qu’en raison de travaux sur le TCSP, les arrêts «&nbsp;Corbeville&nbsp;», «&nbsp;Palaiseau Campus&nbsp;» et «&nbsp;Place Marguerite Perey&nbsp;» ne seront pas desservis dans les deux sens de circulation.</p><p><p></p></p><p>Des arrêts provisoires seront mis en place durant cette période. Nous vous invitons à consulter notre site internet et notre compte Twitter.</p><p> </p> / <p>Du Lundi 25 avril au dimanche 30 octobre 2022 inclus.</p><p><p></p></p><p>Nous informons notre aimable clientèle qu’en raison de travaux sur le TCSP, les arrêts «&nbsp;Corbeville&nbsp;», «&nbsp;Palaiseau Campus&nbsp;» et «&nbsp;Place Marguerite Perey&nbsp;» ne seront pas desservis dans les deux sens de circulation.</p><p><p></p></p><p>Des arrêts provisoires seront mis en place durant cette période. Nous vous invitons à consulter notre site internet et notre compte Twitter.</p><p> </p>";20220420T153304;Albatrans Bus 91-10;67eca5bc-c0ae-11ec-8815-005056a47b86;travaux
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220425T000000;20221030T235900;3245b1c2-c2a4-11ec-92a1-005056a44da2;" / L9106 9110 PALAISEAU / <p><div class=""fckcontainer""><br><p>&nbsp;En raison de travaux sur le TCSP sur la commune de Palaiseau, une d&eacute;viation est mise en palce sur les lignes express 91.06, 91.08 et 91.10.</p><br><p>&nbsp;</p><br><p>Les arr&ecirc;ts suivants sont non desservis : 'Corbeville', 'Palaiseau Campus' et 'Place Marguerite Perey'.</p><br><p>Arr&ecirc;ts de report : 'Corbeville' (provisoire) et 'Thomas Gobert'.</p><br><p>Du lundi 25 avril au dimanche 30 avril 2022 inclus.</p><br><p>&nbsp;</p><br><p>NIV_2022_20</p><br><p>Fi_2022_049</p><br></div><a href='https://www.transdev-idf.com/horaire-ligne-9106-albatrans_006'>En savoir plus sur cette information.</a></p> / L9106 9110 PALAISEAU / <p><div class=""fckcontainer""><br><p>&nbsp;En raison de travaux sur le TCSP sur la commune de Palaiseau, une d&eacute;viation est mise en palce sur les lignes express 91.06, 91.08 et 91.10.</p><br><p>&nbsp;</p><br><p>Les arr&ecirc;ts suivants sont non desservis : 'Corbeville', 'Palaiseau Campus' et 'Place Marguerite Perey'.</p><br><p>Arr&ecirc;ts de report : 'Corbeville' (provisoire) et 'Thomas Gobert'.</p><br><p>Du lundi 25 avril au dimanche 30 avril 2022 inclus.</p><br><p>&nbsp;</p><br><p>NIV_2022_20</p><br><p>Fi_2022_049</p><br></div><a href='https://www.transdev-idf.com/horaire-ligne-9106-albatrans_006'>En savoir plus sur cette information.</a></p>";20220423T032501;Albatrans Bus 91-10;3245b1c2-c2a4-11ec-92a1-005056a44da2;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220427T050000;20260830T153000;aafdee10-c48c-11ec-8971-005056a47b86; / Déplacement arrêt CEA PORTE NORD / <p>A compter du mercredi 27 avril 2022 au dimanche 30 août 2026, en raison de travaux, l'arrêt CEA PORTE NORD sera déplacé sur la RD36.</p><p>Nous vous invitons à consulter notre site internet et notre compte Twitter pour avoir plus d'informations.</p> / <p>A compter du mercredi 27 avril 2022 au dimanche 30 août 2026, en raison de travaux, l'arrêt CEA PORTE NORD sera déplacé sur la RD36.</p><p>Nous vous invitons à consulter notre site internet et notre compte Twitter pour avoir plus d'informations.</p>;20220425T134138;Albatrans Bus 91-10;aafdee10-c48c-11ec-8971-005056a47b86;perturbation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220427T000000;20260830T235900;ce366250-c585-11ec-99ef-005056a44da2;" / L9110 L9111 CEA PORTE NORD / <p><div class=""fckcontainer""><p>&nbsp;</p><br><p style=""font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">&nbsp;En raison de travaux concernant la gare CEA &agrave; l'arr&ecirc;t 'Christ de Saclay',</p><br><p style=""font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;""><span style=""margin: 0px; padding: 0px; border: 0px; font-style: inherit; font-variant: inherit; font-weight: inherit; font-stretch: inherit; font-size: 18pt; line-height: inherit; font-family: inherit; vertical-align: baseline; color: rgb(245, 212, 39);""><b><i>l'arr&ecirc;t &quot;CEA PORTE NORD&quot; est d&eacute;plac&eacute;.=</i></b></span></p><br><p><u style=""font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">Du mercredi 27 avril 2022 au dimanche 30 ao&ucirc;t 2026.</u></p><br><p>&nbsp;</p><br><p>NIV_2022_22</p><br><p>FI_2022_052</p></div><a href='https://www.transdev-idf.com/horaire-ligne-9110-albatrans_006'>En savoir plus sur cette information.</a></p> / L9110 L9111 CEA PORTE NORD / <p><div class=""fckcontainer""><p>&nbsp;</p><br><p style=""font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">&nbsp;En raison de travaux concernant la gare CEA &agrave; l'arr&ecirc;t 'Christ de Saclay',</p><br><p style=""font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;""><span style=""margin: 0px; padding: 0px; border: 0px; font-style: inherit; font-variant: inherit; font-weight: inherit; font-stretch: inherit; font-size: 18pt; line-height: inherit; font-family: inherit; vertical-align: baseline; color: rgb(245, 212, 39);""><b><i>l'arr&ecirc;t &quot;CEA PORTE NORD&quot; est d&eacute;plac&eacute;.=</i></b></span></p><br><p><u style=""font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">Du mercredi 27 avril 2022 au dimanche 30 ao&ucirc;t 2026.</u></p><br><p>&nbsp;</p><br><p>NIV_2022_22</p><br><p>FI_2022_052</p></div><a href='https://www.transdev-idf.com/horaire-ligne-9110-albatrans_006'>En savoir plus sur cette information.</a></p>";20220426T192502;Albatrans Bus 91-10;ce366250-c585-11ec-99ef-005056a44da2;perturbation
