status;category;severity__color;severity__priority;severity__name;severity__effect;tags;application_periods;impact_id;messages;updated_at;uri;impacted_objects;id;disruption_uri;contributor;cause;disruption_id;embedded_type;line_code;line_name;line_physical_mode;line_commecial_mode;stop_area_value;stop_area_name;stop_area_label
future;Incidents;#FF0000;0;bloquante;NO_SERVICE;['Actualité'];[{'begin': '20220527T223000', 'end': '20220528T023000'}];e3d63f76-d521-11ec-9cc9-005056a44da2;"['Ligne J : Bois-Colombes et Colombes le 27 mai', '<p>Période : à partir de 22h30<br>Date : vendredi 27 mai<br>Entre Paris St-Lazare et Ermont Eaubonne, et entre Paris St-Lazare / Conflans Ste-Honorine / Pontoise, les trains ne marquent pas l\'arrêt à Bois-Colombes et Colombes dans les deux sens.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-j-paris-pontoise-ermont-27mai.pdf"" target=""_blank"">Pour plus d\'informations, cliquez ici pour télécharger l\'affiche PDF.</a><br>Les horaires du calculateur d\'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>']";20220516T161007;e3d63f76-d521-11ec-9cc9-005056a44da2;[{'pt_object': {'embedded_type': 'line', 'line': {'code': 'J', 'name': 'J', 'links': [], 'color': 'B6BF00', 'geojson': {'type': 'MultiLineString', 'coordinates': []}, 'text_color': '000000', 'physical_modes': [{'id': 'physical_mode:LocalTrain', 'name': 'Train Transilien'}], 'codes': [{'type': 'Netex_PrivateCode', 'value': '800854041'}, {'type': 'osm_company', 'value': 'SNCF'}, {'type': 'osm_line_id', 'value': 'relation:6904183'}, {'type': 'osm_network', 'value': 'Transilien'}, {'type': 'source', 'value': 'FR1:Line:C01739:'}], 'closing_time': '235959', 'opening_time': '000000', 'commercial_mode': {'id': 'commercial_mode:LocalTrain', 'name': 'Train Transilien'}, 'id': 'line:IDFM:C01739'}, 'quality': 0, 'name': 'Transilien Train Transilien J', 'id': 'line:IDFM:C01739'}}];e3d63f76-d521-11ec-9cc9-005056a44da2;4f5e5192-cac4-11ec-af9e-005056a44da2;shortterm.tr_idfm;travaux;4f5e5192-cac4-11ec-af9e-005056a44da2;['line'];['J', ''];['J', ''];[[{'id': 'physical_mode:LocalTrain', 'name': 'Train Transilien'}], ''];[''];[''];[''];['']
future;Incidents;#FF0000;0;bloquante;NO_SERVICE;['Actualité'];[{'begin': '20220610T223000', 'end': '20220611T023000'}];76a9a5c8-d6cf-11ec-850c-005056a44da2;"['Ligne J : Bois Colombes - Colombes le 10/06', '<p>Période : à partir de 22h30<br>Dates : vendredi 10 juin<br>Les trains ne marquent pas l\'arrêt à Bois-Colombes et Colombes dans les deux sens.<br>Un service de bus de remplacement est mis en place entre Asnières-sur-Seine et Le Stade, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-j-paris-ermont-conflans-le10juin.pdf"" target="""">https://www.transilien.com/sites/transilien/files/sentinelle-j-paris-ermont-conflans-le10juin.pdf</a><br>Les horaires du calculateur d\'itinéraire tiennent compte des travaux.<br>Motif : travaux de maintenance.</p>']";20220518T192507;76a9a5c8-d6cf-11ec-850c-005056a44da2;[{'pt_object': {'embedded_type': 'line', 'line': {'code': 'J', 'name': 'J', 'links': [], 'color': 'B6BF00', 'geojson': {'type': 'MultiLineString', 'coordinates': []}, 'text_color': '000000', 'physical_modes': [{'id': 'physical_mode:LocalTrain', 'name': 'Train Transilien'}], 'codes': [{'type': 'Netex_PrivateCode', 'value': '800854041'}, {'type': 'osm_company', 'value': 'SNCF'}, {'type': 'osm_line_id', 'value': 'relation:6904183'}, {'type': 'osm_network', 'value': 'Transilien'}, {'type': 'source', 'value': 'FR1:Line:C01739:'}], 'closing_time': '235959', 'opening_time': '000000', 'commercial_mode': {'id': 'commercial_mode:LocalTrain', 'name': 'Train Transilien'}, 'id': 'line:IDFM:C01739'}, 'quality': 0, 'name': 'Transilien Train Transilien J', 'id': 'line:IDFM:C01739'}}];76a9a5c8-d6cf-11ec-850c-005056a44da2;bb1dbf94-d6a9-11ec-9547-005056a47b86;shortterm.tr_idfm;travaux;bb1dbf94-d6a9-11ec-9547-005056a47b86;['line'];['J', ''];['J', ''];[[{'id': 'physical_mode:LocalTrain', 'name': 'Train Transilien'}], ''];[''];[''];[''];['']
future;Incidents;#FF0000;0;bloquante;NO_SERVICE;['Actualité'];[{'begin': '20220611T050000', 'end': '20220613T023000'}];12936adc-d793-11ec-8bf3-005056a47b86;"['Ligne J : Bois-Colombes - Colombes 11-12/06', '<p>Période : toute la journée<br>Dates : samedi 11 et dimanche 12 juin<br>Les trains ne marquent pas l\'arrêt à Bois-Colombes et Colombes dans les deux sens.<br>Un service de bus de remplacement est mis en place entre Asnières sur Seine et Le Stade avec desserte des gares intermédiaires.<br>Les voyageurs de l\'axe Paris Saint Lazare/Bois Colombes et Colombes sont invités à emprunter le métro 13 puis les lignes de bus régulières 304,178 et 378 renforcées à cette occasion.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-letj-lignesl3-j4-j5-j6-les11et12juin.pdf"" target=""""><br>Pour plus d\'informations, cliquez ici pour télécharger l\'affiche PDF.</a><br>Les horaires du calculateur d\'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>']";20220519T184521;12936adc-d793-11ec-8bf3-005056a47b86;[{'pt_object': {'embedded_type': 'line', 'line': {'code': 'J', 'name': 'J', 'links': [], 'color': 'B6BF00', 'geojson': {'type': 'MultiLineString', 'coordinates': []}, 'text_color': '000000', 'physical_modes': [{'id': 'physical_mode:LocalTrain', 'name': 'Train Transilien'}], 'codes': [{'type': 'Netex_PrivateCode', 'value': '800854041'}, {'type': 'osm_company', 'value': 'SNCF'}, {'type': 'osm_line_id', 'value': 'relation:6904183'}, {'type': 'osm_network', 'value': 'Transilien'}, {'type': 'source', 'value': 'FR1:Line:C01739:'}], 'closing_time': '235959', 'opening_time': '000000', 'commercial_mode': {'id': 'commercial_mode:LocalTrain', 'name': 'Train Transilien'}, 'id': 'line:IDFM:C01739'}, 'quality': 0, 'name': 'Transilien Train Transilien J', 'id': 'line:IDFM:C01739'}}];12936adc-d793-11ec-8bf3-005056a47b86;fc42d39c-d77b-11ec-9547-005056a47b86;shortterm.tr_idfm;travaux;fc42d39c-d77b-11ec-9547-005056a47b86;['line'];['J', ''];['J', ''];[[{'id': 'physical_mode:LocalTrain', 'name': 'Train Transilien'}], ''];[''];[''];[''];['']
active;Incidents;#EF662F;30;perturbée;SIGNIFICANT_DELAYS;['Ascenseur'];[{'begin': '20210624T141451', 'end': '20220624T141451'}];c71c74c8-d4e5-11eb-aee4-005056a47b86;"[""Panne d'un ascenseur"", ""GARE ST LAZARE Panne de l'ascenseur situé Salle d échange - Sortie Cour de Rome, jusqu'au 2021-06-30"", ""GARE ST LAZARE Panne de l'ascenseur situé Salle d échange - Sortie Cour de Rome, jusqu'au 2021-06-30"", ""GARE ST LAZARE Panne ascenseur jusqu'au 2021-06-30 situé Salle d échange - Sortie Cour de Rome""]";20210624T141451;c71c74c8-d4e5-11eb-aee4-005056a47b86;[{'pt_object': {'embedded_type': 'stop_area', 'stop_area': {'codes': [{'type': 'source', 'value': 'FR::multimodalStopPlace:71370:FR1'}], 'name': 'Gare Saint-Lazare', 'links': [], 'coord': {'lat': '48.875942', 'lon': '2.32527'}, 'label': 'Gare Saint-Lazare (Paris)', 'timezone': 'Europe/Paris', 'id': 'stop_area:IDFM:71370'}, 'quality': 0, 'name': 'Gare Saint-Lazare (Paris)', 'id': 'stop_area:IDFM:71370'}}];c71c74c8-d4e5-11eb-aee4-005056a47b86;c71bb5e2-d4e5-11eb-aee4-005056a47b86;shortterm.tr_idfm;perturbation;c71bb5e2-d4e5-11eb-aee4-005056a47b86;['stop_area'];[''];[''];[''];[''];['FR::multimodalStopPlace:71370:FR1'];['Gare Saint-Lazare'];['Gare Saint-Lazare (Paris)']
active;Incidents;#EF662F;30;perturbée;SIGNIFICANT_DELAYS;['Ascenseur'];[{'begin': '20210701T154121', 'end': '20220701T154121'}];0578e922-da72-11eb-b67d-005056a44da2;"[""Panne d'un ascenseur"", ""GARE DE MANTES LA JOLIE Panne de l'ascenseur situé Passerelle <> Quais C & D, direction Paris / Province, jusqu'au 2021-07-03"", ""GARE DE MANTES LA JOLIE Panne de l'ascenseur situé Passerelle <> Quais C & D, direction Paris / Province, jusqu'au 2021-07-03"", ""GARE DE MANTES LA JOLIE Panne ascenseur jusqu'au 2021-07-03 situé Passerelle <> Quais C & D, dir. Paris / Province""]";20210701T154121;0578e922-da72-11eb-b67d-005056a44da2;[{'pt_object': {'embedded_type': 'stop_area', 'stop_area': {'codes': [{'type': 'source', 'value': 'FR::multimodalStopPlace:65931:FR1'}], 'name': 'Mantes-la-Jolie', 'links': [], 'coord': {'lat': '48.989036', 'lon': '1.70339'}, 'label': 'Mantes-la-Jolie (Mantes-la-Ville) (Mantes-la-Jolie)', 'timezone': 'Europe/Paris', 'id': 'stop_area:IDFM:65931'}, 'quality': 0, 'name': 'Mantes-la-Jolie (Mantes-la-Ville) (Mantes-la-Jolie)', 'id': 'stop_area:IDFM:65931'}}];0578e922-da72-11eb-b67d-005056a44da2;0578206e-da72-11eb-b67d-005056a44da2;shortterm.tr_idfm;perturbation;0578206e-da72-11eb-b67d-005056a44da2;['stop_area'];[''];[''];[''];[''];['FR::multimodalStopPlace:65931:FR1'];['Mantes-la-Jolie'];['Mantes-la-Jolie (Mantes-la-Ville) (Mantes-la-Jolie)']
active;Incidents;#EF662F;30;perturbée;SIGNIFICANT_DELAYS;['Ascenseur'];[{'begin': '20210705T091108', 'end': '20220705T091108'}];6095ff36-de53-11eb-b397-005056a47b86;"[""Panne d'un ascenseur"", ""LA DEFENSE Panne de l'ascenseur situé Salle d échange zone SNCF Nord et Ouest - Queue Quais 1 et A, direction Est, jusqu'au 2021-08-27"", ""LA DEFENSE Panne de l'ascenseur situé Salle d échange zone SNCF Nord et Ouest - Queue Quais 1 et A, direction Est, jusqu'au 2021-08-27"", ""LA DEFENSE Panne ascenseur jusqu'au 2021-08-27 situé Salle d échange zone SNCF Nord et Ouest - Queue Quais 1 et A, dir. Est""]";20210706T141204;6095ff36-de53-11eb-b397-005056a47b86;[{'pt_object': {'embedded_type': 'stop_area', 'stop_area': {'codes': [{'type': 'source', 'value': 'FR::multimodalStopPlace:71517:FR1'}], 'name': 'La Défense', 'links': [], 'coord': {'lat': '48.891609', 'lon': '2.239151'}, 'label': 'La Défense (Puteaux)', 'timezone': 'Europe/Paris', 'id': 'stop_area:IDFM:71517'}, 'quality': 0, 'name': 'La Défense (Puteaux)', 'id': 'stop_area:IDFM:71517'}}];6095ff36-de53-11eb-b397-005056a47b86;2bd6b07c-dd60-11eb-be0c-005056a44da2;shortterm.tr_idfm;perturbation;2bd6b07c-dd60-11eb-be0c-005056a44da2;['stop_area'];[''];[''];[''];[''];['FR::multimodalStopPlace:71517:FR1'];['La Défense'];['La Défense (Puteaux)']
active;Incidents;#EF662F;30;perturbée;SIGNIFICANT_DELAYS;['Ascenseur'];[{'begin': '20210705T091111', 'end': '20220705T091111'}];6319786e-de53-11eb-8918-005056a44da2;"[""Panne d'un ascenseur"", ""LA DEFENSE Panne de l'ascenseur situé Salle d échange zone SNCF Sud et Ouest - Tête Quais 2 et B, direction Ouest, jusqu'au 2021-08-27"", ""LA DEFENSE Panne de l'ascenseur situé Salle d échange zone SNCF Sud et Ouest - Tête Quais 2 et B, direction Ouest, jusqu'au 2021-08-27"", ""LA DEFENSE Panne ascenseur jusqu'au 2021-08-27 situé Salle d échange zone SNCF Sud et Ouest - Tête Quais 2 et B, dir. Ouest""]";20210706T141209;6319786e-de53-11eb-8918-005056a44da2;[{'pt_object': {'embedded_type': 'stop_area', 'stop_area': {'codes': [{'type': 'source', 'value': 'FR::multimodalStopPlace:71517:FR1'}], 'name': 'La Défense', 'links': [], 'coord': {'lat': '48.891609', 'lon': '2.239151'}, 'label': 'La Défense (Puteaux)', 'timezone': 'Europe/Paris', 'id': 'stop_area:IDFM:71517'}, 'quality': 0, 'name': 'La Défense (Puteaux)', 'id': 'stop_area:IDFM:71517'}}];6319786e-de53-11eb-8918-005056a44da2;2d62d7ea-dd60-11eb-b397-005056a47b86;shortterm.tr_idfm;perturbation;2d62d7ea-dd60-11eb-b397-005056a47b86;['stop_area'];[''];[''];[''];[''];['FR::multimodalStopPlace:71517:FR1'];['La Défense'];['La Défense (Puteaux)']
active;Incidents;#EF662F;30;perturbée;SIGNIFICANT_DELAYS;['Ascenseur'];[{'begin': '20210809T091041', 'end': '20220809T091041'}];e7df7e7a-f8e0-11eb-8901-005056a47b86;"[""Panne d'un ascenseur"", ""LA DEFENSE Panne de l'ascenseur situé Salle d échange zone SNCF Nord et Ouest - Queue Quais 1 et A, direction Est, jusqu'au 2021-08-30"", ""LA DEFENSE Panne de l'ascenseur situé Salle d échange zone SNCF Nord et Ouest - Queue Quais 1 et A, direction Est, jusqu'au 2021-08-30"", ""LA DEFENSE Panne ascenseur jusqu'au 2021-08-30 situé Salle d échange zone SNCF Nord et Ouest - Queue Quais 1 et A, dir. Est""]";20210809T091041;e7df7e7a-f8e0-11eb-8901-005056a47b86;[{'pt_object': {'embedded_type': 'stop_area', 'stop_area': {'codes': [{'type': 'source', 'value': 'FR::multimodalStopPlace:71517:FR1'}], 'name': 'La Défense', 'links': [], 'coord': {'lat': '48.891609', 'lon': '2.239151'}, 'label': 'La Défense (Puteaux)', 'timezone': 'Europe/Paris', 'id': 'stop_area:IDFM:71517'}, 'quality': 0, 'name': 'La Défense (Puteaux)', 'id': 'stop_area:IDFM:71517'}}];e7df7e7a-f8e0-11eb-8901-005056a47b86;e7dea662-f8e0-11eb-8901-005056a47b86;shortterm.tr_idfm;perturbation;e7dea662-f8e0-11eb-8901-005056a47b86;['stop_area'];[''];[''];[''];[''];['FR::multimodalStopPlace:71517:FR1'];['La Défense'];['La Défense (Puteaux)']
active;Incidents;#EF662F;30;perturbée;SIGNIFICANT_DELAYS;['Ascenseur'];[{'begin': '20210814T091026', 'end': '20220814T091026'}];b37c274a-fcce-11eb-a7c5-005056a44da2;"[""Panne d'un ascenseur"", ""LA DEFENSE Panne de l'ascenseur situé Salle d échange zone SNCF Sud et Ouest - Tête Quais 2 et B, direction Ouest, jusqu'au 2021-08-30"", ""LA DEFENSE Panne de l'ascenseur situé Salle d échange zone SNCF Sud et Ouest - Tête Quais 2 et B, direction Ouest, jusqu'au 2021-08-30"", ""LA DEFENSE Panne ascenseur jusqu'au 2021-08-30 situé Salle d échange zone SNCF Sud et Ouest - Tête Quais 2 et B, dir. Ouest""]";20210814T091027;b37c274a-fcce-11eb-a7c5-005056a44da2;[{'pt_object': {'embedded_type': 'stop_area', 'stop_area': {'codes': [{'type': 'source', 'value': 'FR::multimodalStopPlace:71517:FR1'}], 'name': 'La Défense', 'links': [], 'coord': {'lat': '48.891609', 'lon': '2.239151'}, 'label': 'La Défense (Puteaux)', 'timezone': 'Europe/Paris', 'id': 'stop_area:IDFM:71517'}, 'quality': 0, 'name': 'La Défense (Puteaux)', 'id': 'stop_area:IDFM:71517'}}];b37c274a-fcce-11eb-a7c5-005056a44da2;b37b67f6-fcce-11eb-a7c5-005056a44da2;shortterm.tr_idfm;perturbation;b37b67f6-fcce-11eb-a7c5-005056a44da2;['stop_area'];[''];[''];[''];[''];['FR::multimodalStopPlace:71517:FR1'];['La Défense'];['La Défense (Puteaux)']
active;Incidents;#EF662F;30;perturbée;SIGNIFICANT_DELAYS;['Ascenseur'];[{'begin': '20210927T082048', 'end': '20220927T082048'}];0e53699a-1f5b-11ec-848b-005056a44da2;"[""Panne d'un ascenseur"", ""GARE DE MANTES LA JOLIE Panne de l'ascenseur situé Passerelle <> Parking Gare Routière, jusqu'au 2021-09-29"", ""GARE DE MANTES LA JOLIE Panne de l'ascenseur situé Passerelle <> Parking Gare Routière, jusqu'au 2021-09-29"", ""GARE DE MANTES LA JOLIE Panne ascenseur jusqu'au 2021-09-29 situé Passerelle <> Parking Gare Routière""]";20210927T082048;0e53699a-1f5b-11ec-848b-005056a44da2;[{'pt_object': {'embedded_type': 'stop_area', 'stop_area': {'codes': [{'type': 'source', 'value': 'FR::multimodalStopPlace:65931:FR1'}], 'name': 'Mantes-la-Jolie', 'links': [], 'coord': {'lat': '48.989036', 'lon': '1.70339'}, 'label': 'Mantes-la-Jolie (Mantes-la-Ville) (Mantes-la-Jolie)', 'timezone': 'Europe/Paris', 'id': 'stop_area:IDFM:65931'}, 'quality': 0, 'name': 'Mantes-la-Jolie (Mantes-la-Ville) (Mantes-la-Jolie)', 'id': 'stop_area:IDFM:65931'}}];0e53699a-1f5b-11ec-848b-005056a44da2;0e52a294-1f5b-11ec-848b-005056a44da2;shortterm.tr_idfm;perturbation;0e52a294-1f5b-11ec-848b-005056a44da2;['stop_area'];[''];[''];[''];[''];['FR::multimodalStopPlace:65931:FR1'];['Mantes-la-Jolie'];['Mantes-la-Jolie (Mantes-la-Ville) (Mantes-la-Jolie)']
