status;category;severity_priority;severity_name;severity_effect;start_year;start_month;start_day;start_hour;start_minute;start_weekday;end_year;end_month;end_day;end_hour;end_minute;end_weekday;minute_duration;cause;line;station
future;Incidents;0;bloquante;NO_SERVICE;2022;8;1;0;0;0;2022;8;1;5;15;0;1125;travaux;14;Olympiades
future;Incidents;0;bloquante;NO_SERVICE;2022;8;1;0;0;0;2022;8;1;5;15;0;1125;travaux;14;Mairie de Saint-Ouen
future;Incidents;0;bloquante;NO_SERVICE;2022;7;26;0;0;1;2022;7;28;5;15;3;1125;travaux;14;Olympiades
future;Incidents;0;bloquante;NO_SERVICE;2022;7;26;0;0;1;2022;7;28;5;15;3;1125;travaux;14;Mairie de Saint-Ouen
future;Incidents;0;bloquante;NO_SERVICE;2022;7;31;4;30;6;2022;7;31;12;45;6;945;travaux;14;Olympiades
future;Incidents;0;bloquante;NO_SERVICE;2022;7;31;4;30;6;2022;7;31;12;45;6;945;travaux;14;Mairie de Saint-Ouen
future;Incidents;0;bloquante;NO_SERVICE;2022;8;20;0;0;5;2022;8;21;0;45;6;1395;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;8;20;0;0;5;2022;8;21;0;45;6;1395;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;21;3;0;2;2022;9;21;23;0;2;240;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;21;3;0;2;2022;9;21;23;0;2;240;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;1;3;0;3;2022;9;1;23;0;3;240;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;1;3;0;3;2022;9;1;23;0;3;240;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;29;3;0;3;2022;9;29;23;0;3;240;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;29;3;0;3;2022;9;29;23;0;3;240;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;28;3;0;2;2022;9;28;23;0;2;240;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;28;3;0;2;2022;9;28;23;0;2;240;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;27;3;0;1;2022;9;27;23;0;1;240;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;27;3;0;1;2022;9;27;23;0;1;240;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;26;0;0;0;2022;9;26;23;0;0;60;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;26;0;0;0;2022;9;26;23;0;0;60;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;25;0;0;6;2022;9;26;0;45;0;1395;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;25;0;0;6;2022;9;26;0;45;0;1395;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;24;0;0;5;2022;9;25;0;45;6;1395;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;24;0;0;5;2022;9;25;0;45;6;1395;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;23;3;0;4;2022;9;24;0;45;5;135;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;23;3;0;4;2022;9;24;0;45;5;135;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;22;3;0;3;2022;9;22;23;0;3;240;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;22;3;0;3;2022;9;22;23;0;3;240;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;20;3;0;1;2022;9;20;23;0;1;240;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;20;3;0;1;2022;9;20;23;0;1;240;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;19;0;0;0;2022;9;19;23;0;0;60;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;19;0;0;0;2022;9;19;23;0;0;60;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;18;0;0;6;2022;9;19;0;45;0;1395;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;18;0;0;6;2022;9;19;0;45;0;1395;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;16;3;0;4;2022;9;17;0;45;5;135;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;16;3;0;4;2022;9;17;0;45;5;135;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;15;3;0;3;2022;9;15;23;0;3;240;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;2022;9;15;3;0;3;2022;9;15;23;0;3;240;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;2022;9;14;3;0;2;2022;9;14;23;0;2;240;travaux;4;Mairie de Montrouge
