'Adrienne Bolland' 
'Angélique Compoint - Porte de Montmartre' 
'Butte du Chapeau Rouge' 
'Canal Saint-Denis' 
'Colette Besson' 
'Delphine Seyrig' 
'Diane Arbus - Porte des Poissonniers' 
'Ella Fitzgerald' 
'Épinettes - Pouchet' 
'Honoré de Balzac' 
'Hôpital Robert Debré' 
'Marie de Miribel' 
"Porte d'Asnières - Marguerite Long" 
"Porte d'Aubervilliers" 
'Porte de Bagnolet' 
'Porte de Clichy' 
'Porte de Clignancourt' 
'Porte de la Chapelle' 
'Porte de la Villette' 
'Porte de Montreuil' 
'Porte de Pantin' 
'Porte de Saint-Ouen' 
'Porte de Vincennes' 
'Porte des Lilas' 
'Rosa Parks'
